Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;
Variável - Área plantada;;;;;;
Nível;Cód.;Brasil e Município;Ano x Produto das lavouras temporárias;;;
;;;2019;;;
;;;Total;;Soja (em grão);
MU;1710706;Itaguatins (TO);252;Hectares;-;Hectares
MU;1710904;Itapiratins (TO);17437;Hectares;10121;Hectares
MU;1711100;Itaporã do Tocantins (TO);131;Hectares;-;Hectares
MU;1711506;Jaú do Tocantins (TO);2742;Hectares;1500;Hectares
MU;1711803;Juarina (TO);56;Hectares;-;Hectares
MU;1711902;Lagoa da Confusão (TO);95479;Hectares;33419;Hectares
MU;1711951;Lagoa do Tocantins (TO);2770;Hectares;2700;Hectares
MU;1712009;Lajeado (TO);340;Hectares;-;Hectares
MU;1712157;Lavandeira (TO);136;Hectares;-;Hectares
MU;1712405;Lizarda (TO);4410;Hectares;1255;Hectares
MU;1712454;Luzinópolis (TO);769;Hectares;400;Hectares
MU;1712504;Marianópolis do Tocantins (TO);34318;Hectares;27300;Hectares
MU;1712702;Mateiros (TO);51215;Hectares;45000;Hectares
MU;1712801;Maurilândia do Tocantins (TO);400;Hectares;-;Hectares
MU;1713205;Miracema do Tocantins (TO);16418;Hectares;9118;Hectares
MU;1713304;Miranorte (TO);14695;Hectares;9067;Hectares
MU;1713601;Monte do Carmo (TO);49455;Hectares;38000;Hectares
MU;1713700;Monte Santo do Tocantins (TO);1673;Hectares;1160;Hectares
MU;1713809;Palmeiras do Tocantins (TO);842;Hectares;300;Hectares
MU;1713957;Muricilândia (TO);1013;Hectares;800;Hectares
MU;1714203;Natividade (TO);2795;Hectares;2400;Hectares
MU;1714302;Nazaré (TO);335;Hectares;-;Hectares
MU;1714880;Nova Olinda (TO);691;Hectares;370;Hectares
MU;1715002;Nova Rosalândia (TO);7360;Hectares;5010;Hectares
MU;1715101;Novo Acordo (TO);7041;Hectares;5743;Hectares
MU;1715150;Novo Alegre (TO);164;Hectares;-;Hectares
MU;1715259;Novo Jardim (TO);210;Hectares;-;Hectares
MU;1715507;Oliveira de Fátima (TO);1831;Hectares;1448;Hectares
MU;1715705;Palmeirante (TO);5923;Hectares;4553;Hectares
MU;1715754;Palmeirópolis (TO);2522;Hectares;2020;Hectares
MU;1716109;Paraíso do Tocantins (TO);3204;Hectares;1290;Hectares
